epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,38.4734,0.40949,4.43829,0.60583,0.41745,1.04052,0.98294,1,0.995,0.8955,0,0,0,0,0.60139,4.89008,0.43562,0.54272,0.96515,0.000376352,0.000376352,0.000376352
78,38.9676,0.51103,5.45617,0.61912,0.4366,1.13121,0.98302,1,0.995,0.8955,0,0,0,0,0.50756,4.96496,0.43649,0.52449,0.877,0.000366058,0.000366058,0.000366058
79,39.4345,0.52332,4.31724,0.65815,0.47282,1.08387,0.98302,1,0.995,0.8955,0,0,0,0,0.50756,4.96496,0.43649,0.52449,0.877,0.000355368,0.000355368,0.000355368
80,39.8986,0.82422,3.95699,0.6235,0.72732,1.43082,0.98302,1,0.995,0.8955,0,0,0,0,0.50756,4.96496,0.43649,0.52449,0.877,0.000344282,0.000344282,0.000344282
81,40.3839,0.43845,2.3905,0.61505,0.40241,1.17679,0.98287,1,0.995,0.8955,0.49126,0.5,0.2475,0.02475,0.50518,4.90494,0.43282,0.55952,0.93252,0.0003328,0.0003328,0.0003328
82,40.8643,0.36633,3.14458,0.61091,0.37756,0.98398,0.98287,1,0.995,0.8955,0.49126,0.5,0.2475,0.02475,0.50518,4.90494,0.43282,0.55952,0.93252,0.000320922,0.000320922,0.000320922
83,41.3404,0.22297,3.87148,0.56536,0.26836,0.96453,0.98287,1,0.995,0.8955,0.49126,0.5,0.2475,0.02475,0.50518,4.90494,0.43282,0.55952,0.93252,0.000308648,0.000308648,0.000308648
84,41.8909,0.41541,4.7757,0.61783,0.45733,1.21503,0.98146,1,0.995,0.8955,0.49073,0.5,0.2475,0.0495,0.52228,4.87327,0.42949,0.70183,0.92976,0.000295978,0.000295978,0.000295978
85,42.3652,0.44775,5.77898,0.60251,0.44892,1.16162,0.98146,1,0.995,0.8955,0.49073,0.5,0.2475,0.0495,0.52228,4.87327,0.42949,0.70183,0.92976,0.000282912,0.000282912,0.000282912
86,42.833,0.66192,3.55327,0.58796,0.59654,1.37779,0.98146,1,0.995,0.8955,0.49073,0.5,0.2475,0.0495,0.52228,4.87327,0.42949,0.70183,0.92976,0.00026945,0.00026945,0.00026945
87,43.2933,0.63765,3.73354,0.59921,0.34897,1.06333,0.98146,1,0.995,0.8955,0.49073,0.5,0.2475,0.0495,0.52228,4.87327,0.42949,0.70183,0.92976,0.000255592,0.000255592,0.000255592
88,43.7783,0.37649,4.97981,0.6703,0.38313,1.01741,0.98154,1,0.995,0.8955,0.49169,0.5,0.495,0.0495,0.56237,4.65768,0.43976,0.70274,0.97638,0.000241338,0.000241338,0.000241338
89,44.2398,0.3262,3.38637,0.56601,0.4793,1.06528,0.98154,1,0.995,0.8955,0.49169,0.5,0.495,0.0495,0.56237,4.65768,0.43976,0.70274,0.97638,0.000226688,0.000226688,0.000226688
90,44.7051,0.4565,4.44724,0.61251,0.34876,0.9669,0.98154,1,0.995,0.8955,0.49169,0.5,0.495,0.0495,0.56237,4.65768,0.43976,0.70274,0.97638,0.000211642,0.000211642,0.000211642
91,45.1753,0.43335,3.79625,0.4966,0.43022,1.26716,0.98154,1,0.995,0.8955,0.49169,0.5,0.495,0.0495,0.56237,4.65768,0.43976,0.70274,0.97638,0.0001962,0.0001962,0.0001962
92,45.6939,0.30716,3.90448,0.48682,0.47584,1.18861,0.98273,1,0.995,0.945,0,0,0,0,0.52055,4.45463,0.44285,0.47352,0.90937,0.000180362,0.000180362,0.000180362
93,46.208,0.46749,4.19369,0.49458,0.86981,1.13822,0.98273,1,0.995,0.945,0,0,0,0,0.52055,4.45463,0.44285,0.47352,0.90937,0.000164128,0.000164128,0.000164128
94,46.6621,0.2821,3.93731,0.47976,0.76363,1.08657,0.98273,1,0.995,0.945,0,0,0,0,0.52055,4.45463,0.44285,0.47352,0.90937,0.000147498,0.000147498,0.000147498
95,47.1394,0.45135,4.27061,0.48152,0.37601,1.21679,0.98273,1,0.995,0.945,0,0,0,0,0.52055,4.45463,0.44285,0.47352,0.90937,0.000130472,0.000130472,0.000130472
96,47.6315,0.3376,3.55823,0.4951,0.51788,1.09728,0.98301,1,0.995,0.945,0,0,0,0,0.46127,4.39482,0.45631,0.39936,0.86854,0.00011305,0.00011305,0.00011305
97,48.1047,0.49441,3.53339,0.49664,0.30906,1.19937,0.98301,1,0.995,0.945,0,0,0,0,0.46127,4.39482,0.45631,0.39936,0.86854,9.5232e-05,9.5232e-05,9.5232e-05
98,48.5843,0.56601,3.85458,0.49233,0.40753,1.32489,0.98301,1,0.995,0.945,0,0,0,0,0.46127,4.39482,0.45631,0.39936,0.86854,7.7018e-05,7.7018e-05,7.7018e-05
99,49.046,0.32252,5.06777,0.49384,0.72767,0.96627,0.98301,1,0.995,0.945,0,0,0,0,0.46127,4.39482,0.45631,0.39936,0.86854,5.8408e-05,5.8408e-05,5.8408e-05
100,49.545,0.35378,3.60677,0.49163,0.41021,1.2722,0.98293,1,0.995,0.995,0.49266,0.5,0.695,0.09425,0.423,4.32996,0.46274,0.42283,0.83834,3.9402e-05,3.9402e-05,3.9402e-05
