epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,12468.5,1.04452,0.89347,0.90181,0.76488,0.78863,0.82202,0.49912,1.40914,1.27904,1.07994,0.00012958,0.00012958,0.00012958
65,12531,1.08261,0.92083,0.91641,0.74562,0.77421,0.82822,0.50664,1.40718,1.32043,1.08149,0.000122304,0.000122304,0.000122304
66,12594.2,1.03166,0.89322,0.91587,0.78649,0.81136,0.83206,0.50888,1.39907,1.31569,1.07875,0.000115027,0.000115027,0.000115027
67,12655.7,1.03608,0.90342,0.92021,0.75091,0.80736,0.83461,0.50525,1.41264,1.27924,1.08653,0.000107751,0.000107751,0.000107751
68,12717.3,1.05514,0.89099,0.91575,0.77541,0.75424,0.82339,0.50845,1.47565,1.25631,1.09656,0.000100474,0.000100474,0.000100474
69,12778.1,1.05058,0.88236,0.90371,0.8052,0.76091,0.83535,0.50788,1.47912,1.26153,1.09585,9.3198e-05,9.3198e-05,9.3198e-05
70,12838.7,1.03734,0.8951,0.90239,0.72115,0.81642,0.84276,0.50604,1.43749,1.25347,1.08878,8.59215e-05,8.59215e-05,8.59215e-05
71,12899,1.00637,0.85953,0.91553,0.78689,0.7268,0.81697,0.48451,1.45729,1.29681,1.09866,7.8645e-05,7.8645e-05,7.8645e-05
72,12959.9,1.00161,0.87598,0.92284,0.72899,0.75664,0.809,0.50524,1.4204,1.32484,1.08448,7.13685e-05,7.13685e-05,7.13685e-05
73,13020.5,0.98116,0.84355,0.90914,0.7172,0.80504,0.81446,0.49527,1.45393,1.29514,1.09192,6.4092e-05,6.4092e-05,6.4092e-05
74,13082.4,0.9462,0.81202,0.89813,0.71536,0.78411,0.80283,0.49537,1.40841,1.24695,1.08428,5.68155e-05,5.68155e-05,5.68155e-05
75,13143.9,0.90638,0.80071,0.88924,0.73569,0.78894,0.82636,0.50953,1.4103,1.21893,1.07922,4.9539e-05,4.9539e-05,4.9539e-05
76,13205.7,0.96116,0.82435,0.92049,0.7401,0.8064,0.82601,0.51227,1.40519,1.22264,1.07855,4.22625e-05,4.22625e-05,4.22625e-05
77,13268,0.90858,0.78066,0.89498,0.76252,0.7756,0.82553,0.51127,1.42409,1.24277,1.08333,3.4986e-05,3.4986e-05,3.4986e-05
78,13327.9,0.88419,0.78959,0.89088,0.74828,0.78695,0.82044,0.50287,1.46008,1.26755,1.09573,2.77095e-05,2.77095e-05,2.77095e-05
79,13388,0.91753,0.79323,0.90245,0.74157,0.7968,0.82504,0.50884,1.42599,1.24896,1.09092,2.0433e-05,2.0433e-05,2.0433e-05
80,13448.1,0.89385,0.76946,0.88962,0.75397,0.79851,0.82055,0.50638,1.41445,1.22857,1.08996,1.31565e-05,1.31565e-05,1.31565e-05
